     64, 0040, -2.624633
     75, 004B, -2.560117
     80, 0050, -2.530792
     57, 0039, -2.665689
     38, 0026, -2.777126
     49, 0031, -2.712610
     67, 0043, -2.607038
     57, 0039, -2.665689
     29, 001D, -2.829912
     19, 0013, -2.888563
     33, 0021, -2.806452
     49, 0031, -2.712610
     56, 0038, -2.671554
     53, 0035, -2.689150
     53, 0035, -2.689150
     55, 0037, -2.677419
     56, 0038, -2.671554
     60, 003C, -2.648094
     67, 0043, -2.607038
     71, 0047, -2.583578
     71, 0047, -2.583578
     68, 0044, -2.601173
     73, 0049, -2.571847
     84, 0054, -2.507331
     83, 0053, -2.513196
     77, 004D, -2.548387
     74, 004A, -2.565982
     75, 004B, -2.560117
     74, 004A, -2.565982
     60, 003C, -2.648094
     37, 0025, -2.782991
     10, 000A, -2.941349
     -7, FFF9, -3.041056
    -13, FFF3, -3.076246
      4, 0004, -2.976540
     64, 0040, -2.624633
    116, 0074, -2.319648
    133, 0085, -2.219941
    133, 0085, -2.219941
    136, 0088, -2.202346
    136, 0088, -2.202346
    131, 0083, -2.231672
    109, 006D, -2.360704
     89, 0059, -2.478006
     70, 0046, -2.589443
     45, 002D, -2.736070
     22, 0016, -2.870968
     18, 0012, -2.894428
     17, 0011, -2.900293
      5, 0005, -2.970675
     -7, FFF9, -3.041056
    -22, FFEA, -3.129032
    -33, FFDF, -3.193548
    -37, FFDB, -3.217009
    -33, FFDF, -3.193548
    -21, FFEB, -3.123167
     -5, FFFB, -3.029325
     -1, FFFF, -3.005865
    -17, FFEF, -3.099707
    -35, FFDD, -3.205279
    -36, FFDC, -3.211144
    -25, FFE7, -3.146628
    -22, FFEA, -3.129032
    -23, FFE9, -3.134897
    -20, FFEC, -3.117302
     -1, FFFF, -3.005865
     19, 0013, -2.888563
     24, 0018, -2.859237
     11, 000B, -2.935484
      9, 0009, -2.947214
     24, 0018, -2.859237
     37, 0025, -2.782991
     35, 0023, -2.794721
     19, 0013, -2.888563
     -5, FFFB, -3.029325
    -21, FFEB, -3.123167
     -8, FFF8, -3.046921
     -6, FFFA, -3.035191
    -20, FFEC, -3.117302
    -21, FFEB, -3.123167
    -17, FFEF, -3.099707
    -29, FFE3, -3.170088
    -53, FFCB, -3.310850
    -58, FFC6, -3.340176
    -50, FFCE, -3.293255
    -45, FFD3, -3.263930
    -53, FFCB, -3.310850
    -56, FFC8, -3.328446
    -56, FFC8, -3.328446
    -59, FFC5, -3.346041
    -55, FFC9, -3.322581
    -30, FFE2, -3.175953
     -5, FFFB, -3.029325
     10, 000A, -2.941349
     33, 0021, -2.806452
     45, 002D, -2.736070
     43, 002B, -2.747801
     41, 0029, -2.759531
     44, 002C, -2.741935
     48, 0030, -2.718475
     49, 0031, -2.712610
     44, 002C, -2.741935
     36, 0024, -2.788856
     32, 0020, -2.812317
     35, 0023, -2.794721
     34, 0022, -2.800586
     24, 0018, -2.859237
     17, 0011, -2.900293
     25, 0019, -2.853372
     37, 0025, -2.782991
     28, 001C, -2.835777
      7, 0007, -2.958944
     -3, FFFD, -3.017595
     -4, FFFC, -3.023460
     -4, FFFC, -3.023460
     -9, FFF7, -3.052786
     -8, FFF8, -3.046921
      3, 0003, -2.982405
     16, 0010, -2.906158
     22, 0016, -2.870968
     28, 001C, -2.835777
     26, 001A, -2.847507
     18, 0012, -2.894428
     18, 0012, -2.894428
     29, 001D, -2.829912
     40, 0028, -2.765396
     42, 002A, -2.753666
     34, 0022, -2.800586
     22, 0016, -2.870968
     16, 0010, -2.906158
      9, 0009, -2.947214
      7, 0007, -2.958944
      7, 0007, -2.958944
     13, 000D, -2.923754
     11, 000B, -2.935484
     -5, FFFB, -3.029325
    -33, FFDF, -3.193548
    -37, FFDB, -3.217009
    -18, FFEE, -3.105572
    -10, FFF6, -3.058651
    -13, FFF3, -3.076246
     -5, FFFB, -3.029325
     17, 0011, -2.900293
     37, 0025, -2.782991
     43, 002B, -2.747801
     38, 0026, -2.777126
     26, 001A, -2.847507
     21, 0015, -2.876833
     21, 0015, -2.876833
     21, 0015, -2.876833
     19, 0013, -2.888563
