
1540338310.408:  AA AA 04 80 02 06 0D 6A
1540338310.433:  AA AA 04 80 02 05 D4 A4
1540338310.433:  AA AA 04 80 02 05 9E DA
1540338310.434:  AA AA 04 80 02 04 D5 A4
1540338310.434:  AA AA 04 80 02 F8 00 85
1540338310.434:  AA AA 04 80 02 F8 00 85
1540338310.434:  AA AA 04 80 02 06 C9 AE
1540338310.434:  AA AA 04 80 02 06 75 02
1540338310.434:  AA AA 04 80 02 06 34 43
1540338310.435:  AA AA 04 80 02 05 F8 80
1540338310.442:  AA AA 04 80 02 05 C2 B6
1540338310.442:  AA AA 04 80 02 05 8D EB
1540338310.442:  AA AA 04 80 02 F8 F4 91
1540338310.443:  AA AA 04 80 02 F8 00 85
1540338310.443:  AA AA 04 80 02 01 F0 8C
1540338310.443:  AA AA 04 80 02 06 A6 D1
1540338310.443:  AA AA 04 80 02 06 60 17
1540338310.443:  AA AA 04 80 02 06 1E 59
1540338310.443:  AA AA 04 80 02 05 E4 94
1540338310.443:  AA AA 04 80 02 05 AA CE
1540338310.445:  AA AA 04 80 02 05 79 FF
1540338310.445:  AA AA 04 80 02 F8 00 85
1540338310.445:  AA AA 04 80 02 F8 00 85
1540338310.445:  AA AA 04 80 02 06 E1 96
1540338310.445:  AA AA 04 80 02 06 87 F0
1540338310.446:  AA AA 04 80 02 06 44 33
1540338310.447:  AA AA 04 80 02 06 06 71
1540338310.448:  AA AA 04 80 02 05 CC AC
1540338310.449:  AA AA 04 80 02 05 9A DE
1540338310.450:  AA AA 04 80 02 FD 69 17
1540338310.478:  AA AA 04 80 02 F8 00 85
1540338310.479:  AA AA 04 80 02 FD B8 C8
1540338310.480:  AA AA 04 80 02 06 B6 C1
1540338310.481:  AA AA 04 80 02 06 69 0E
1540338310.482:  AA AA 04 80 02 06 27 50
1540338310.483:  AA AA 04 80 02 05 EC 8C
1540338310.483:  AA AA 04 80 02 05 B6 C2
1540338310.484:  AA AA 04 80 02 05 88 F0
1540338310.485:  AA AA 04 80 02 F8 00 85
1540338310.486:  AA AA 04 80 02 F8 00 85
1540338310.487:  AA AA 04 80 02 06 E9 8E
1540338310.488:  AA AA 04 80 02 06 91 E6
1540338310.488:  AA AA 04 80 02 06 49 2E
1540338310.489:  AA AA 04 80 02 06 0B 6C
1540338310.490:  AA AA 04 80 02 05 D3 A5
1540338310.491:  AA AA 04 80 02 05 9B DD
1540338310.491:  AA AA 04 80 02 01 88 F4
1540338310.492:  AA AA 04 80 02 F8 00 85
1540338310.493:  AA AA 04 80 02 F9 92 F2
1540338310.494:  AA AA 04 80 02 06 BB BC
1540338310.516:  AA AA 04 80 02 06 70 07
1540338310.516:  AA AA 04 80 02 06 2C 4B
1540338310.517:  AA AA 04 80 02 05 F1 87
1540338310.518:  AA AA 04 80 02 05 B7 C1
1540338310.519:  AA AA 04 80 02 05 88 F0
1540338310.520:  AA AA 04 80 02 F8 00 85
1540338310.521:  AA AA 04 80 02 F8 00 85
1540338310.522:  AA AA 04 80 02 06 96 E1
1540338310.523:  AA AA 04 80 02 06 94 E3
1540338310.524:  AA AA 04 80 02 06 4E 29
1540338310.525:  AA AA 04 80 02 06 11 66
1540338310.526:  AA AA 04 80 02 05 D6 A2
1540338310.527:  AA AA 04 80 02 05 A1 D7
1540338310.528:  AA AA 04 80 02 04 3A 3F
1540338310.528:  AA AA 04 80 02 F8 00 85
1540338310.529:  AA AA 04 80 02 F8 00 85
1540338310.530:  AA AA 04 80 02 06 C1 B6
1540338310.531:  AA AA 04 80 02 06 70 07
1540338310.532:  AA AA 04 80 02 06 30 47
1540338310.533:  AA AA 04 80 02 05 F3 85
1540338310.552:  AA AA 04 80 02 05 BA BE
1540338310.553:  AA AA 04 80 02 05 88 F0
1540338310.554:  AA AA 04 80 02 F8 00 85
1540338310.555:  AA AA 04 80 02 F8 00 85
1540338310.556:  AA AA 04 80 02 04 51 28
1540338310.557:  AA AA 04 80 02 06 97 E0
1540338310.558:  AA AA 04 80 02 06 51 26
1540338310.558:  AA AA 04 80 02 06 12 65
1540338310.559:  AA AA 04 80 02 05 D6 A2
1540338310.560:  AA AA 04 80 02 05 A1 D7
1540338310.561:  AA AA 04 80 02 05 57 21
1540338310.562:  AA AA 04 80 02 F8 00 85
1540338310.563:  AA AA 04 80 02 F8 00 85
1540338310.564:  AA AA 04 80 02 06 CA AD
1540338310.565:  AA AA 04 80 02 06 78 FF
1540338310.566:  AA AA 04 80 02 06 36 41
1540338310.567:  AA AA 04 80 02 05 F9 7F
1540338310.567:  AA AA 04 80 02 05 C1 B7
1540338310.568:  AA AA 04 80 02 05 8C EC
1540338310.569:  AA AA 04 80 02 FB 8E F4
1540338310.590:  AA AA 04 80 02 F8 00 85
1540338310.590:  AA AA 04 80 02 FF 93 EB
1540338310.591:  AA AA 04 80 02 06 A6 D1
1540338310.592:  AA AA 04 80 02 06 5C 1B
1540338310.593:  AA AA 04 80 02 06 20 57
1540338310.594:  AA AA 04 80 02 05 E2 96
1540338310.595:  AA AA 04 80 02 05 A9 CF
1540338310.596:  AA AA 04 80 02 05 80 F8
1540338310.597:  AA AA 04 80 02 F8 00 85
1540338310.598:  AA AA 04 80 02 F8 00 85
1540338310.599:  AA AA 04 80 02 06 E1 96
