1005938,218924,90293,112640,80254,383475,206951,246265,0,0
1466757,665285,17415,22955,87219,408252,275041,58964,0,0
7724,65842,9177,1062,6329,2685,666,1638,0,0
727179,435649,18925,127558,49670,251612,327235,57681,0,0
1395277,665244,233096,115892,90635,162540,125658,73008,0,0
1225991,136070,103643,197848,224409,172389,254091,76490,0,0
377518,274053,286533,154116,230574,181530,159391,115277,0,0
1469649,238912,49005,32169,252660,375180,66157,80626,0,0
218244,72267,41857,10447,16113,70078,34822,25497,0,0
1108890,449420,117483,130013,289029,194507,177811,81233,0,0
721608,45955,25609,41383,12351,67449,35707,18040,0,0
1342877,50915,141914,48995,73102,182188,297635,140751,0,0
1195574,98118,62012,154351,63890,184628,242054,168993,0,0
80259,114591,87122,71727,37097,30216,18727,9043,0,0
154419,58996,16993,41307,28139,89220,12503,12183,0,0
1034959,199841,71155,153307,81184,133864,108839,53324,0,0
222797,36263,13189,47061,40564,28120,23434,19521,0,0
2355934,155997,30539,74475,84705,208376,84774,40936,0,0
187022,55951,6977,34413,20826,47739,20723,10748,0,0
652609,51919,8735,25170,31081,16079,18637,10918,0,0
1954972,225119,76466,101684,154578,172993,52749,59200,0,0
1145597,463915,39993,193463,265577,106693,77375,94148,0,0
1071996,289029,56056,148625,400026,203953,119474,63446,0,0
1999059,1314481,232262,804763,556204,935513,210789,546205,0,0
124776,33604,29991,37760,46394,53287,31296,18899,0,0
1823596,786232,1031265,1053801,602518,506876,250199,123180,0,0
467389,214578,47033,98281,68746,56305,69666,90242,0,0
1247892,58608,193149,43759,59389,114039,24994,61377,0,0
1092067,347471,67869,11327,83108,41282,19634,86456,0,0
585845,164853,39115,26320,62870,94785,43522,48134,0,0
79179,60562,38522,48774,3848,72958,35846,13978,0,0
220032,321251,64713,83062,55424,171775,76248,34167,0,0
754375,109388,34611,37702,22980,21556,2044,1446,0,0
338196,113415,22534,20912,12951,13311,4097,3127,0,0
368625,354277,44436,41853,46252,25571,30159,20438,0,0
1651248,261381,57942,80925,61594,53979,13667,4909,0,0
